Exchange,Name,Root Ticker,Sector,SubSector,Listing Type,Date of TSX ListingYYYYMMDD,HQLocation,HQRegion
TSX,Akita Drilling Ltd.,AKT,Industrial Products & Services,Energy Services,,19930108,AB,Canada
TSX,AltaGas Ltd.,ALA,Industrial Products & Services,Energy Services,TSXV Grad,20000117,AB,Canada
TSX,Badger Daylighting Ltd.,BAD,Industrial Products & Services,Energy Services,,19970605,AB,Canada
TSX,Bri-Chem Corp.,BRY,Industrial Products & Services,Energy Services,TSXV Grad,20110704,AB,Canada
TSX,Calfrac Well Services Ltd.,CFW,Industrial Products & Services,Energy Services,,19600408,AB,Canada
TSX,Cathedral Energy Services Ltd.,CET,Industrial Products & Services,Energy Services,,19870925,AB,Canada
TSX,CES Energy Solutions Corp.,CEU,Industrial Products & Services,Energy Services,IPO,20060301,AB,Canada
TSX,ClearStream Energy Services Inc.,CSM,Industrial Products & Services,Energy Services,IPO,20050805,AB,Canada
TSX,Enerflex Ltd.,EFX,Industrial Products & Services,Energy Services,Other,20110603,AB,Canada
TSX,Ensign Energy Services Inc.,ESI,Industrial Products & Services,Energy Services,TSXV Grad,19930625,AB,Canada
TSX,Enterprise Group Inc.,E,Industrial Products & Services,Energy Services,TSXV Grad,20070813,AB,Canada
TSX,Essential Energy Services Ltd.,ESN,Industrial Products & Services,Energy Services,Other,20060529,AB,Canada
TSX,Foraco International SA,FAR,Industrial Products & Services,Energy Services,IPO,20070801,France,UK/Europe
TSX,Gibson Energy Inc.,GEI,Industrial Products & Services,Energy Services,IPO,20110614,AB,Canada
TSX,Hanwei Energy Services Corp.,HE,Industrial Products & Services,Energy Services,TSXV Grad,20070917,China,Asia
TSX,High Arctic Energy Services Inc.,HWO,Industrial Products & Services,Energy Services,IPO,20050720,AB,Canada
TSX,Horizon North Logistics Inc.,HNL,Industrial Products & Services,Energy Services,TSXV Grad,20070528,AB,Canada
TSX,McCoy Global Inc.,MCB,Industrial Products & Services,Energy Services,,19971118,AB,Canada
TSX,Mullen Group Ltd.,MTL,Industrial Products & Services,Energy Services,,19931213,AB,Canada
