Exchange,Name,Root Ticker,Sector,SubSector,Listing Type,Date of TSX ListingYYYYMMDD,HQLocation,HQRegion,Market Capitalization,CMP,52W_Low,52W_High,Div Yield,SMA 200,SMA 50,Beta,Current Volume,Avg 10 Day Volume,Avg 3 Mon. Volume,EPS,R&D expense,Revenue,R&D %,Div. Payout Ratio,P/E,P/S,Book Value,Shares Outstanding,P/B
TSX,Akita Drilling Ltd.,AKT,Industrial Products & Services,Energy Services,,1993-01-08,AB,Canada,,,,,,,,,,,,,0.0,0,,,,,0,,
TSX,AltaGas Ltd.,ALA,Industrial Products & Services,Energy Services,TSXV Grad,2000-01-17,AB,Canada,5560779264.0,20.01,11.87,20.87,0.048,19.49059,19.49059,0.971246,204166.0,995166.0,851271.0,3.795000196293114,,4256700000,,0.2787,5.272727,0.9777195,6217800000,277900013.1934033,22.374234274227074
TSX,Badger Daylighting Ltd.,BAD,Industrial Products & Services,Energy Services,,1997-06-05,AB,Canada,1231083776.0,35.03,29.7,49.57,0.0163,36.478825,36.478825,1.170926,28209.0,151016.0,211987.0,1.8330001351072325,,615442000,,0.3046,19.110746,1.8369559,335837000,35143699.00085641,9.55610847884328
TSX,Bri-Chem Corp.,BRY,Industrial Products & Services,Energy Services,TSXV Grad,2011-07-04,AB,Canada,1794300.0,0.075,0.06,0.3,,0.08470588,0.08470588,1.884984,23000.0,36816.0,14682.0,,,121436493,,0.0,,0.01828603,19318022,23924000.0,0.8074745861896004
TSX,Calfrac Well Services Ltd.,CFW,Industrial Products & Services,Energy Services,,1960-04-08,AB,Canada,136195888.0,0.92,0.91,3.95,,1.1826471,1.1826471,2.619808,38000.0,127233.0,191722.0,,,2256426000,,0.0,,0.075549886,414195000,148039008.69565216,2.797877421967395
TSX,Cathedral Energy Services Ltd.,CET,Industrial Products & Services,Energy Services,,1987-09-25,AB,Canada,10882982.0,0.22,0.21,0.94,,0.24617647,0.24617647,2.365814,4800.0,50616.0,38763.0,,0.0,0,,0.0,,0.07552172,0,49468100.0,0.0
TSX,CES Energy Solutions Corp.,CEU,Industrial Products & Services,Energy Services,IPO,2006-03-01,AB,Canada,498027040.0,1.88,1.68,3.67,0.0309,1.9058824,1.9058824,1.472843,119499.0,441766.0,553584.0,0.11999999744680856,,1271051000,,0.5,15.666667,0.38028914,686491000,264908000.00000003,2.591431742340737
TSX,ClearStream Energy Services Inc.,CSM,Industrial Products & Services,Energy Services,IPO,2005-08-05,AB,Canada,6046755.0,0.055,0.01,0.11,,0.060882352,0.060882352,10.174121,39700.0,39666.0,86684.0,0.011,,378332000,,0.0,5,0.014929596,-154806000,109941000.0,-1.4080825169863835
TSX,Enerflex Ltd.,EFX,Industrial Products & Services,Energy Services,Other,2011-06-03,AB,Canada,1069003200.0,12.0,10.05,20.38,0.0385,11.102058,11.102058,0.913738,69887.0,209166.0,211555.0,1.7089999483454765,,1703273000,,0.2456,7.0216503,0.5245607,1336972000,89083600.0,15.008059844909726
TSX,Ensign Energy Services Inc.,ESI,Industrial Products & Services,Energy Services,TSXV Grad,1993-06-25,AB,Canada,370027328.0,2.31,2.25,6.45,0.1765,2.6717646,2.6717646,1.370607,140981.0,431266.0,699274.0,0.39100002572814024,,1156357000,,1.2,5.907928,0.2367999,1554493000,160184990.47619048,9.704361160049238
TSX,Enterprise Group Inc.,E,Industrial Products & Services,Energy Services,TSXV Grad,2007-08-13,AB,Canada,9182845.0,0.175,0.15,0.31,,0.17558824,0.17558824,1.958466,18333.0,12500.0,39377.0,,,20479612,,0.0,,0.46485278,41726388,52473400.0,0.7951912397519505
TSX,Essential Energy Services Ltd.,ESN,Industrial Products & Services,Energy Services,Other,2006-05-29,AB,Canada,37592100.0,0.265,0.24,0.41,,0.28529412,0.28529412,1.867412,29477.0,120800.0,102603.0,,,189894000,,0.0,,0.24253593,153779000,141856981.13207546,1.084042524892198
TSX,Foraco International SA,FAR,Industrial Products & Services,Energy Services,IPO,2007-08-01,France,UK/Europe,32356082.0,0.36,0.25,0.57,,0.38941178,0.38941178,1.223642,500.0,1833.0,2926.0,,,180046000,,0.0,,0.15779068,31916000,89878005.55555555,0.3551035629097491
TSX,Gibson Energy Inc.,GEI,Industrial Products & Services,Energy Services,IPO,2011-06-14,AB,Canada,3625536256.0,24.92,16.9,26.01,0.052699998,23.718529,23.718529,1.19968,64503.0,401500.0,435057.0,1.1150000391502823,,6846589000,,1.0394,22.349775,0.51909304,772329000,145487008.66773674,5.308577082396718
TSX,Hanwei Energy Services Corp.,HE,Industrial Products & Services,Energy Services,TSXV Grad,2007-09-17,China,Asia,2913014.0,0.015,0.01,0.03,,0.01735294,0.01735294,0.453674,151000.0,207833.0,71619.0,,464000.0,10710000,0.043323996265172734,0.0,,0.2639556,-4503000,194200933.33333334,-0.02318732419411647
TSX,High Arctic Energy Services Inc.,HWO,Industrial Products & Services,Energy Services,IPO,2005-07-20,AB,Canada,95766792.0,1.93,1.83,4.05,0.1042,2.192647,2.192647,1.583067,6600.0,65066.0,33022.0,,,203300000,,,,0.50271285,212500000,49620099.48186529,4.282538773983366
TSX,Horizon North Logistics Inc.,HNL,Industrial Products & Services,Energy Services,TSXV Grad,2007-05-28,AB,Canada,167071168.0,1.01,0.9,2.44,0.0833,0.9902941,0.9902941,2.215654,21430.0,144650.0,303444.0,,,394245000,,,,0.35700417,319354000,165416998.01980197,1.930599659182367
TSX,McCoy Global Inc.,MCB,Industrial Products & Services,Energy Services,,1997-11-18,AB,Canada,17078954.0,0.62,0.41,1.27,,0.60617644,0.60617644,1.290734,1552.0,12166.0,128852.0,0.03700000167096782,3003000.0,49076000,0.0611908060966664,0.0,16.756756,0.31018806,39245000,27546700.0,1.4246715577546494
TSX,Mullen Group Ltd.,MTL,Industrial Products & Services,Energy Services,,1993-12-13,AB,Canada,879481792.0,8.39,7.3,13.0,0.0719,8.153529,8.153529,0.589456,43706.0,169733.0,277096.0,,,1260798000,,,,0.6780093,924907000,104825005.00595947,8.823343246655869
TSX,North American Construction Group Ltd.,NOA,Industrial Products & Services,Energy Services,IPO,2006-11-27,AB,Canada,375384224.0,14.92,10.64,18.36,,14.561176,14.561176,,32166.0,49466.0,64823.0,,0.0,0,,,,,0,25159800.536193028,0.0
TSX,Pason Systems Inc.,PSI,Industrial Products & Services,Energy Services,TSXV Grad,1997-12-24,AB,Canada,1085003264.0,12.72,12.45,21.71,0.059899997,14.270883,14.270883,1.004792,122495.0,308566.0,178490.0,0.7499999557783046,26997000.0,306393000,0.08811232632599308,0.97330004,16.960001,3.5091004,369498000,85298998.74213836,4.33179762305305
TSX,PHX Energy Services Corp.,PHX,Industrial Products & Services,Energy Services,TSXV Grad,2003-03-24,AB,Canada,146218336.0,2.66,2.25,3.5,,2.4935293,2.4935293,2.734824,200.0,106433.0,52315.0,,0.0,0,,0.0,,0.4055553,0,54969299.2481203,0.0
TSX,Precision Drilling Corporation,PD,Industrial Products & Services,Energy Services,TSXV Grad,1988-09-23,AB,Canada,396169568.0,1.385,1.32,4.05,,1.4102942,1.4102942,3.110223,196537.0,700916.0,1410696.0,,,1541189000,,0.0,,0.24822202,1555447000,286043009.3862816,5.437808123111566
TSX,Pulse Seismic Inc.,PSD,Industrial Products & Services,Energy Services,TSXV Grad,2001-11-21,AB,Canada,110276264.0,2.05,1.29,2.92,,2.277353,2.277353,2.083067,1567.0,14233.0,24050.0,,,10188000,,0.0,,4.773038,32674000,53793299.512195125,0.6073990682165293
TSX,Secure Energy Services Inc.,SES,Industrial Products & Services,Energy Services,IPO,2010-03-30,AB,Canada,667941376.0,4.255,4.02,9.44,0.0638,4.450294,4.450294,1.354632,91315.0,478966.0,449506.0,0.07199999661574634,,2937453000,,3.8571,59.097225,0.22283697,794465000,156977996.70975325,5.060995914407913
TSX,ShawCor Ltd.,SCL,Industrial Products & Services,Energy Services,,1969-06-27,ON,Canada,866404416.0,12.35,11.6,22.46,0.048699997,13.420882,13.420882,1.670926,61193.0,258283.0,138439.0,0.749999984817814,11876000.0,1408872000,0.008429438586330057,0.8019,16.466667,0.57395643,1049125000,70154203.72469635,14.954556452768589
TSX,Source Energy Services Ltd.,SHLE,Industrial Products & Services,Energy Services,IPO,2017-04-13,AB,Canada,12800109.0,0.21,0.135,1.76,,0.33485293,0.33485293,2.629053,151000.0,105300.0,52660.0,,,415027000,,0.0,,0.040204376,208999000,60952900.0,3.4288606448585712
TSX,STEP Energy Services Ltd.,STEP,Industrial Products & Services,Energy Services,IPO,2017-05-02,AB,Canada,62791340.0,0.94,0.9,2.97,,1.2157353,1.2157353,3.283354,2010.0,82350.0,78019.0,,,781763000,,0.0,,0.088336736,351426000,66799297.872340426,5.260923560478244
TSX,Strad Inc.,SDY,Industrial Products & Services,Energy Services,IPO,2010-11-23,AB,Canada,93278320.0,1.7,1.13,1.81,,1.6485294,1.6485294,0.661341,1666.0,7816.0,20715.0,,,119922000,,0.0,,0.7573936,135221000,54869600.0,2.4644065201860412
TSX,TerraVest Industries Inc.,TVK,Industrial Products & Services,Energy Services,IPO,2004-07-08,AB,Canada,207112512.0,11.96,10.0,13.5,0.032899998,12.403824,12.403824,0.388178,6031.0,3266.0,5414.0,1.3239999455344507,,269927000,,0.3053,9.033233,0.6785279,94269000,17317099.665551838,5.44369448814372
TSX,Tervita Corporation,TEV,Industrial Products & Services,Energy Services,Other,2018-07-24,AB,Canada,863745024.0,7.5,5.6,9.51,,7.365,7.365,,21268.0,18150.0,20233.0,,,1974000000,,0.0,,0.40475398,363000000,115166003.2,3.151971848581092
TSX,Tidewater Midstream and Infrastructure Ltd.,TWM,Industrial Products & Services,Energy Services,TSXV Grad,2017-11-20,AB,Canada,351810240.0,1.02,0.94,1.55,0.04,0.99352944,0.99352944,0.356374,156400.0,383233.0,606684.0,0.03900000172058831,,324290000,,1.0135,26.153845,0.68079877,466089000,344912000.0,1.351327295078165
TSX,Total Energy Services Inc.,TOT,Industrial Products & Services,Energy Services,TSXV Grad,1998-12-14,AB,Canada,271646496.0,5.99,5.45,11.0,0.0403,6.0611763,6.0611763,0.69329,8400.0,93233.0,36242.0,0.23100000829131917,,851809000,,1.0435,25.930735,0.3289718,539689000,45349999.33222037,11.900529392435086
TSX,Trican Well Service Ltd.,TCW,Industrial Products & Services,Energy Services,,1996-12-09,AB,Canada,271171808.0,0.9,0.81,1.73,,0.88911766,0.88911766,2.522364,726361.0,1136850.0,802190.0,,,900592000,,0.0,,0.41089872,771018000,301302008.8888889,2.5589540635433607
TSX,Western Energy Services Corp.,WRG,Industrial Products & Services,Energy Services,TSXV Grad,2011-10-13,AB,Canada,17575246.0,0.19,0.16,0.64,,0.21029411,0.21029411,0.76837,500.0,49400.0,33528.0,,,236410000,,0.0,,0.08224145,319492000,92501294.73684211,3.4539192225246804
TSX,NXT Energy Solutions Inc.,SFD,Technology,Energy Services,TSXV Grad,2016-03-22,AB,Canada,26537440.0,0.4,0.22,0.87,,0.38764706,0.38764706,1.222891,22000.0,28833.0,7036.0,0.06100000045750001,,0,,0.0,6.557377,2.2158575,29832197,66343600.0,0.4496620171350364
TSX,Advantage Oil & Gas Ltd.,AAV,Oil & Gas,,,2001-05-29,AB,Canada,465408416.0,2.49,1.35,2.91,,2.1667647,2.1667647,1.6246,478844.0,1111783.0,938807.0,0.013000000783132577,,225018000,,0.0,191.53845,1.9233739,1315507000,186911010.44176707,7.038146104345479
TSX,Africa Oil Corp.,AOI,Oil & Gas,,TSXV Grad,2014-05-06,BC,Canada,598441792.0,1.27,1.02,1.43,,1.2170588,1.2170588,1.888178,45200.0,241350.0,134319.0,,,0,,0.0,,,912500000,471214009.44881886,1.93648741697505
TSX,ARC Resources Ltd.,ARX,Oil & Gas,,,1996-07-11,AB,Canada,2276031232.0,6.44,5.37,10.49,0.0938,5.9479413,5.9479413,1.648562,969920.0,2741500.0,2355384.0,0.39999999999999997,,1395900000,,1.5,16.1,1.874048,3502100000,353420998.757764,9.909145218618862
TSX,Athabasca Oil Corporation,ATH,Oil & Gas,,IPO,2010-04-07,AB,Canada,193651712.0,0.37,0.33,1.19,,0.46029413,0.46029413,2.046325,324040.0,997250.0,774271.0,,,790941000,,0.0,,0.26260352,1227214000,523383005.4054054,2.344772350889415
TSX,Baytex Energy Corp.,BTE,Oil & Gas,,TSXV Grad,1994-12-21,AB,Canada,825840000.0,1.48,1.44,3.13,,1.6102941,1.6102941,3.797124,1139779.0,2748966.0,3969268.0,,,1115116000,,0.0,,0.59168744,3107137000,558000000.0,5.568345878136201
TSX,Bellatrix Exploration Ltd.,BXE,Oil & Gas,,TSXV Grad,1997-06-19,AB,Canada,15527940.0,0.38,0.37,14.16,,0.38,0.38,,81610.0,0.0,59460.0,,,204923000,,,,,722787000,40863000.0,17.688055208868658
TSX,Bengal Energy Ltd.,BNG,Oil & Gas,,TSXV Grad,2007-11-01,AB,Canada,6647355.0,0.065,0.06,0.14,,0.08,0.08,1.592651,3000.0,8800.0,12177.0,,,10641000,,0.0,,0.7560686,19060000,102267000.0,0.18637488143780495
TSX,Birchcliff Energy Ltd.,BIR,Oil & Gas,,TSXV Grad,2005-07-21,AB,Canada,553144768.0,2.08,1.69,4.05,0.0517,2.0932353,2.0932353,1.90575,1656596.0,1789316.0,1429523.0,0.11400000646730807,,583115000,,0.8646,18.245613,0.95771366,1678399000,265934984.6153846,6.311313279926025
TSX,BNK Petroleum Inc.,BKX,Oil & Gas,,Other,2008-07-10,USA,USA,23292302.0,0.1,0.1,0.39,,0.11647059,0.11647059,1.69329,500.0,11516.0,39830.0,0.029999998500000076,,23854000,,0.0,3.3333335,1.2599287,127654000,232923020.0,0.5480523135927055
TSX,Bonavista Energy Corporation,BNP,Oil & Gas,,,1993-08-05,AB,Canada,127655288.0,0.49,0.41,1.39,0.0833,0.51147056,0.51147056,3.054313,38399.0,237933.0,283915.0,,,480607000,,,,0.336673,1212177000,260520995.91836736,4.652895616827092
TSX,Bonterra Energy Corp.,BNE,Oil & Gas,,,2001-07-04,AB,Canada,99164736.0,2.97,2.86,9.52,0.040799998,3.4441175,3.4441175,1.972843,11187.0,97916.0,94734.0,0.37199999849696974,,199742000,,0.55259997,7.983871,0.577671,506011000,33388799.999999996,15.155111893808703
